Samples	90	92	94	98	106	120	135	180
Dsp 	1.22E+00	4.70E-01	1.04E+00	1.55E+00	1.56E+00	3.24E-01	1.13E+00	2.91E+00
Ednra 	4.47E-02		3.22E-01	6.25E-01	1.40E+00	4.11E-01	6.87E-01	6.57E-02
Elav4 	2.04E-01	4.83E-01	9.84E-02	3.71E-01	2.68E-01	6.74E-02	4.56E-01	8.46E-02
Epha1 			1.24E-01	2.55E+00		3.92E-01		3.44E-02
Epha2 	1.04E+00	7.05E-01	5.60E-01	2.61E+00	1.19E+00	7.30E-01	1.65E+00	8.37E-01
Epha3 	2.51E-01	1.03E-01	2.25E-01	2.30E-01	2.94E-01	1.98E-01	6.36E-01	2.94E-01
Epha4 	5.88E-01	5.49E-01	2.26E+00	1.05E+00	1.98E+00	9.52E-01	1.00E+00	6.17E-01
Ephb1 	8.46E-01	9.37E-01	8.91E-01	8.53E-01	6.77E-01	5.41E-01	7.01E-01	6.62E-01
Ephb3 	1.02E+00	1.23E+00	5.65E-01	2.03E+00	1.68E+00	6.43E-01	1.19E+00	8.43E-01
Erbb2 	1.13E+00	9.78E-01	8.41E-01	1.54E+00	1.09E+00	4.97E-01	1.57E+00	1.03E+00
Fgf8 		2.14E-01	2.90E-01	7.83E-01		1.20E-01		
Fgfr1 	5.12E-01	4.63E-01	6.70E-01	4.61E-01	1.14E+00	3.97E-01	6.19E-01	2.67E-01
Fgfr2 	2.44E-01	8.51E-01	7.28E-01	1.09E+00	1.21E+00	5.23E-01	1.48E+00	7.69E-01
Fgfr3 	6.67E-01	8.67E-01	1.18E+00	6.09E-01	1.41E+00	5.44E-01	7.26E-01	4.36E-01
Foxd3 	1.19E+00	7.43E-01	7.02E-01	9.68E-01	8.21E-01	6.69E-01	7.63E-01	6.14E-01
Gapdh 	1.02E+00	1.08E+00	1.09E+00	1.19E+00	1.09E+00	1.19E+00	1.20E+00	1.30E+00
Gpc3 	2.98E-01	1.69E+00	1.98E-01	3.33E-01	1.22E+00	3.45E-01	6.71E-01	2.20E+00
Hand2 			4.41E-02			1.08E-01		
Hprt 	2.78E-01	8.26E-01	5.45E-01	7.50E-01	4.25E-01	2.71E-01	4.81E-01	8.78E-01
Il8 	1.61E+00	6.93E-01	9.08E-01	3.29E+00	1.11E+00	3.46E-01	1.36E+00	4.33E-02
Isl1 	2.01E+00	9.79E-01	5.80E-01	5.92E+00		1.54E+00	3.65E+00	2.98E-01
Itga1 	3.01E-01		1.12E-01	6.19E-01	6.15E-01	3.36E-01	1.20E+00	1.05E-01
Itga4 	1.40E+00	5.44E-01	8.16E-01	1.31E+00	2.53E+00	1.20E+00	7.65E-01	5.56E-01
Itga6 	1.69E+00	6.96E-01	8.15E-01	3.05E+00	2.53E+00	1.81E+00		4.16E-01
Itga9 	7.09E-01	3.54E-01	4.63E-01	7.56E-01	8.75E-01	5.32E-01	6.41E-01	3.23E-01
Itgav 	4.59E-01	3.42E-01	3.00E-01	8.20E-01	2.24E+00	7.36E-01	1.92E+00	4.24E-01
Itgb1 	7.45E-01	3.21E-01	4.97E-01	9.23E-01	1.21E+00	6.07E-01	1.16E+00	2.26E-01
Itgb5 	1.15E+00	6.15E-01	6.34E-01	1.12E+00	2.32E+00	1.10E+00	1.62E+00	7.72E-01
Kdr 	6.18E-01	3.43E-01	6.18E-01	1.89E+00	1.37E+00	2.84E-01	3.60E+00	4.33E+00
Krt15 	7.03E-01	9.37E-02	3.92E-01	4.31E-01	1.71E+00	8.59E-01	8.84E-01	1.17E-02
Mitf 	2.28E+00	2.62E+00	1.36E+00	2.05E+00	1.95E+00	6.23E-01	8.26E-01	3.11E+00
Mmp2 	3.44E-01	4.59E-01	7.53E-01	1.11E+00	1.07E+00	1.28E+00	9.00E-01	6.96E-01
Mmp9 	3.59E-01	1.68E-01		1.07E+00		4.15E-01	1.46E+00	3.17E-02
Msx1 	1.89E-01	1.06E-01	2.05E-01	3.32E-01	1.57E+00	3.12E-02		3.70E-02
Ncam2 			3.02E-01		8.18E+00			1.94E-01
Nedd9 	5.68E-01	6.96E-01	2.68E-01	5.12E-01	1.68E+00	3.36E-01	1.03E+00	1.44E+00
Nefm 	4.05E-01	8.85E-01	7.89E-01	4.44E-01	5.85E-01	1.28E-01	2.31E-01	2.06E-01
Nes 	9.46E-01	1.21E+00	1.20E+00	1.14E+00	1.41E+00	5.68E-01	1.84E+00	6.69E-01
Notch1 	9.72E-01	1.26E+00	1.22E+00	1.17E+00	1.36E+00	3.98E-01	1.01E+00	4.09E-01
Nrg1 		2.35E+00	7.60E-01	3.07E-03	2.05E+00	3.61E-01	1.83E+00	6.74E-02
Nrp1 	8.76E-01	3.46E-01	6.32E-01	1.24E+00	2.01E+00	7.30E-01	1.34E+00	4.67E-01
Nrp2 	1.15E+00	4.38E-01	6.15E-01	1.23E+00	2.13E+00	8.77E-01	9.58E-01	6.29E-01
Pax3 	1.05E+00	1.50E+00	1.66E+00	4.44E-01	1.10E+00	3.11E-01	6.08E-01	4.70E-01
Pcdh1 	1.64E+00	3.92E-01	1.05E+00	9.95E-01	3.69E+00	1.42E+00	1.89E+00	4.27E-01
Pcdh19 	2.66E-01	5.64E-01	4.25E-01	2.43E-01	4.29E-01	3.02E-01	4.47E-01	1.19E-01
Pdgfrl 	5.91E-01	4.76E-01	3.18E-01	6.00E-01	7.15E-01	3.04E-01	1.28E+00	8.59E-02
Perp 	4.29E-01	1.10E-01	1.17E-01		8.74E-01	1.70E-01	3.88E-01	
Phox2b 	1.74E+00	2.47E-01	4.41E-01	2.18E+00			2.52E+00	3.04E-02
Pkp2 	5.36E-01	1.53E+00	1.74E-01	9.33E-01	1.16E+00	2.03E-01	7.20E-01	1.89E+00
Rhoa 	7.99E-01	8.37E-01	6.88E-01	6.93E-01	6.53E-01	6.63E-01	6.91E-01	6.37E-01
Robo1 	6.05E-01	2.49E-01	6.77E-01	7.49E-01	1.29E+00	7.44E-01	8.87E-01	4.52E-01
Robo2 	2.37E-01	5.93E-01	5.82E-01	5.04E-01	1.16E+00	3.85E-01	3.26E-01	7.79E-01
Rplpo 	7.68E-01	1.09E+00	8.71E-01	8.48E-01	8.35E-01	5.53E-01	7.73E-01	6.10E-01
Runx2 	6.68E-01	3.96E-01	1.49E+00					5.89E-02
Slit1 	1.42E+00	9.42E-01	8.30E-01	6.66E-01	1.96E+00	5.44E-01	5.79E-01	1.44E+00
Slit2 	8.64E-01	1.74E-01	7.38E-01	2.00E+00	2.68E+00	4.58E-01	1.79E+00	9.72E-01
Snail1 	3.30E-01	2.03E-01	6.12E-01	7.82E-01	2.48E-01	1.12E+00	1.10E+00	1.90E+00
Sox10 	1.67E+00	5.13E-01	7.09E-01	6.48E-01	9.99E-01	9.64E-01	6.41E-01	8.19E-01
Spon1 	8.92E-01	5.69E-01	6.89E-01	1.70E+00	2.08E+00	1.10E+00	2.23E+00	6.09E-01
Tfap2a 	1.10E+00	1.00E+00	8.59E-01	5.63E-01	1.24E+00	5.74E-01	2.57E-01	8.29E-01
Tgfbr1 	4.38E-01	9.12E-02	2.96E-01	4.53E-01	1.55E+00	5.35E-01	5.56E-01	1.16E+00
Uncb5 	5.02E-01	1.43E-01	2.60E-01	1.34E+00	9.34E-01	4.72E-01	1.79E+00	2.50E-02
Ywhaz 	9.53E-01	8.98E-01	7.86E-01	9.25E-01	7.91E-01	6.80E-01	1.29E+00	7.62E-01
